period,Road Name
"[0, 10)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[20, 30)",Road Segment 5 / G70
"[30, 40)",Road Segment 5 / G70
"[40, 50)",Road Segment 5 / G70
"[50, 60)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[20, 30)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[20, 30)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[20, 30)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[10, 20)",Road Segment 5 / G70
"[40, 50)",Road Segment 5 / G70
