vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum
宁A59063_0,11,b'2021-08-18 20:02:29',0,32.53014922142029,31.349998712539673
宁ASC600_0,1,b'2021-08-18 20:06:33',1,21.662476658821106,22.53335952758789
宁AZ708R_0,11,b'2021-08-18 21:21:04',0,26.2604159116745,28.06662082672119
宁A5U199_0,11,b'2021-08-18 21:30:54',1,23.089858889579773,19.583340883255005
冀JR6501_1,16,b'2021-08-18 21:41:02',0,23.178688287734985,23.249940276145935
宁A51191_1,12,b'2021-08-18 22:04:02',1,22.65181303024292,21.716639399528503
鄂FNR852_1,16,b'2021-08-18 22:10:19',1,22.803677916526794,20.183279514312744
津CD0979_1,16,b'2021-08-18 23:10:56',0,22.60456144809723,23.200020790100098
宁A3M590_0,1,b'2021-08-19 01:11:39',1,21.76635503768921,23.850059509277344
津AT0666_1,16,b'2021-08-19 07:03:52',0,22.358533143997192,22.399980425834656
宁A89F85_0,1,b'2021-08-19 07:15:04',1,21.306247115135193,21.083280444145203
冀A9929Z_1,16,b'2021-08-19 07:34:38',0,22.145276069641113,23.500020503997803
冀A0500W_1,16,b'2021-08-19 07:36:03',0,21.719056963920593,21.466680765151978
宁A72830_0,11,b'2021-08-19 08:13:24',1,23.201361894607544,19.816680550575256
晋BAA047_0,1,b'2021-08-19 09:31:46',1,21.394008994102478,23.249999284744263
宁AS537G_0,11,b'2021-08-19 09:54:43',0,26.697186827659607,21.61668062210083
宁AC689B_0,1,b'2021-08-19 10:17:47',1,21.71644628047943,24.449999928474426
宁BAD968_0,11,b'2021-08-19 10:35:31',0,26.170706748962402,28.54997992515564
宁AX770R_0,11,b'2021-08-19 10:54:43',1,23.230016827583313,23.566680550575256
宁AK1991_1,16,b'2021-08-19 10:55:58',1,22.35661268234253,22.166699767112732
冀JR6553_1,16,b'2021-08-19 11:19:07',1,22.26089894771576,22.98336088657379
冀A0891W_1,16,b'2021-08-19 11:52:49',1,22.736138105392456,22.78331995010376
宁A59063_0,11,b'2021-08-19 12:10:40',0,32.72457003593445,33.116698265075684
冀RF3100_1,16,b'2021-08-19 12:30:33',1,22.59575128555298,23.63334059715271
冀JR6503_1,16,b'2021-08-19 12:43:30',0,22.020379900932312,22.38330066204071
冀RF3099_1,16,b'2021-08-19 12:49:16',0,23.863940834999084,23.050019145011902
宁AK3795_1,16,b'2021-08-19 12:54:16',1,22.50616729259491,21.916619539260864
鲁JE6660_1,16,b'2021-08-19 12:55:29',0,22.185012102127075,22.466699481010437
冀JR6515_1,16,b'2021-08-19 13:21:08',0,22.59693145751953,22.98330008983612
冀JR6562_1,16,b'2021-08-19 13:22:17',0,24.615710377693176,23.899980783462524
宁AC355E_0,11,b'2021-08-19 13:52:41',0,24.94052767753601,24.366660118103027
冀J9A373_1,16,b'2021-08-19 14:46:01',0,24.393287301063538,24.166679978370667
冀J0B378_1,15,b'2021-08-19 14:50:10',0,24.155918955802917,23.566680550575256
冀J2B818_1,15,b'2021-08-19 15:00:42',0,25.073779821395874,22.283279299736023
冀J7P710_1,15,b'2021-08-19 15:32:27',1,23.446088433265686,23.399999141693115
冀JR6563_1,16,b'2021-08-19 15:51:59',1,22.573233246803284,22.53335952758789
冀JR6559_1,16,b'2021-08-19 15:54:17',0,22.55873143672943,23.38331937789917
豫A09FQ8_0,11,b'2021-08-19 16:29:44',1,23.14401090145111,26.466659903526306
宁AJ1292_1,16,b'2021-08-19 16:42:53',1,22.255963683128357,25.383299589157104
冀RE6316_1,16,b'2021-08-19 18:12:20',0,22.06595242023468,24.71669912338257
宁CBS808_0,11,b'2021-08-19 18:28:16',0,22.584983110427856,21.866639256477356
宁B97712_1,16,b'2021-08-19 18:32:48',0,21.72352373600006,22.000020146369934
冀JZ1191_1,15,b'2021-08-19 18:44:30',0,24.04453933238983,24.016680121421814
冀A9921Z_1,16,b'2021-08-19 18:51:56',1,22.2403621673584,21.4166396856308
冀JR6512_1,16,b'2021-08-19 19:04:34',0,22.988231778144836,23.86668026447296
冀JR6551_1,16,b'2021-08-19 19:14:24',0,23.748058676719666,23.14997971057892
豫RNM203_1,16,b'2021-08-19 19:43:08',1,22.616928219795227,22.30001986026764
宁A5437F_0,1,b'2021-08-19 19:53:57',1,21.697341799736023,20.333340167999268
冀A9912Z_1,16,b'2021-08-19 20:04:14',0,22.263895869255066,23.483340740203857
鲁JE6607_1,13,b'2021-08-19 20:05:54',1,23.334808945655823,22.599960565567017
宁B97080_1,16,b'2021-08-19 20:08:18',0,22.571691870689392,23.083380460739136
宁A59063_0,11,b'2021-08-19 20:11:43',0,32.696778774261475,34.06674027442932
宁A686D8_0,1,b'2021-08-19 20:20:55',1,22.046651244163513,21.33336067199707
冀JX8319_1,14,b'2021-08-19 20:27:10',0,22.713074684143066,26.56667947769165
陕AW1576_1,14,b'2021-08-19 21:17:05',1,22.867695093154907,22.09998071193695
冀JR6568_1,16,b'2021-08-19 21:17:18',0,22.855253219604492,23.366639614105225
冀RE6311_1,16,b'2021-08-19 21:23:28',0,23.04229438304901,23.516700267791748
豫GG9939_1,16,b'2021-08-19 21:26:47',1,22.81830668449402,20.316660404205322
宁AB2320_1,12,b'2021-08-19 21:32:56',1,22.233300805091858,23.249999284744263
晋M38576_1,14,b'2021-08-19 21:40:42',1,22.34597146511078,23.766660690307617
津C63538_1,16,b'2021-08-19 21:57:23',0,23.977062106132507,22.5833398103714
宁AB9192_1,16,b'2021-08-19 22:52:26',0,23.819947242736816,23.14997971057892
宁A5MN09_0,11,b'2021-08-20 00:11:11',1,23.854445815086365,22.400039434432983
宁AV781B_0,11,b'2021-08-20 05:37:39',1,23.839820623397827,22.25003957748413
宁A20237_0,11,b'2021-08-20 07:14:48',1,24.206217527389526,23.750039935112
冀RE6075_1,16,b'2021-08-20 07:15:58',0,23.33392560482025,22.566660046577454
宁AA698E_0,1,b'2021-08-20 08:54:12',1,22.38826274871826,18.283320665359497
鲁JE6759_1,16,b'2021-08-20 09:19:19',0,22.42931306362152,23.216639757156372
冀JR6537_1,16,b'2021-08-20 11:25:31',0,23.041403889656067,23.06663990020752
冀GL7201_1,12,b'2021-08-20 11:32:29',1,22.76517927646637,22.73333966732025
宁AB813X_0,11,b'2021-08-20 11:42:29',0,25.936676859855652,24.68328058719635
冀JR6555_1,16,b'2021-08-20 11:46:10',0,24.012263417243958,23.98337960243225
宁APX079_0,11,b'2021-08-20 11:51:39',0,23.24388563632965,25.68329930305481
宁A59063_0,11,b'2021-08-20 12:12:28',0,32.79407858848572,33.1166410446167
