vehicle_id,vehicle type,time,first appear,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
青ANH707_0,1,b'2021-08-18 14:43:22',0,28.18822861,29.51669991,1.9831891,5.8201737,2.1140666,6.4817758,12.888879,2.11668,5.71668,2.16666,6.58332,12.93336
宁B99275_0,1,b'2021-08-18 14:44:10',1,26.88792408,26.74997985,1.9046313,5.5119586,2.0308127,6.0725064,12.234514,1.61664,5.13336,1.9166399,6.03336,12.049979
宁CGJ993_0,1,b'2021-08-18 14:45:10',1,26.99064553,27.34997928,1.9126256,5.495142,2.0347574,6.090182,12.300305,1.75002,4.9500003,1.9499999,5.9833198,12.7166395
宁CER053_0,11,b'2021-08-18 14:45:18',0,39.72581863,41.21670127,2.75024,7.7420516,3.1804438,8.632099,18.066221,2.6333401,7.90002,2.86668,8.76666,19.05
宁C50891_1,2,b'2021-08-18 14:45:37',0,29.52354491,32.0500195,2.0653822,5.9764075,2.206416,6.7606564,13.427758,2.11668,5.95002,2.14998,7.09998,14.73336
晋MQ6043_1,12,b'2021-08-18 14:46:25',1,36.70797944,38.09993863,2.4876544,7.1309342,2.7648761,8.02986,17.29112,2.44998,6.94998,2.55,8.16666,17.983318
甘H9L272_0,1,b'2021-08-18 14:47:37',1,27.09591508,27.13331938,1.9263544,5.5528407,2.0465817,6.162697,12.362569,1.75002,5.14998,1.9000201,6.19998,12.13332
宁C23666_0,1,b'2021-08-18 14:48:23',1,26.70096517,25.73339939,1.8919704,5.382051,2.0099142,5.9595475,12.130834,2.20002,4.96668,1.73334,5.28336,11.549999
宁DAG708_0,1,b'2021-08-18 14:53:12',1,27.25612879,30.98334074,1.9335017,5.5798645,2.0533526,6.198781,12.450983,1.9833599,6.11664,2.36664,6.68334,13.83336
浙DR975X_0,1,b'2021-08-18 14:55:35',0,25.28577089,26.01666033,1.8034589,5.097293,1.9408491,5.5534787,11.452541,1.76664,5.33334,1.99998,5.71668,11.20002
宁A9A173_0,1,b'2021-08-18 14:57:21',0,30.47641039,31.03331923,2.1273625,5.928027,2.2857513,6.7031345,13.249848,2.3999999,6.78336,2.16666,6.56664,13.11666
宁CKW399_0,1,b'2021-08-18 14:57:27',1,26.93448365,32.04995871,1.9100878,5.5680737,2.0351212,6.1677027,12.304795,1.5666599,5.4833403,1.71666,5.74998,17.53332
宁BAE198_0,1,b'2021-08-18 15:00:17',1,26.67473316,32.50001907,1.8896728,5.471582,2.009202,6.042889,12.196252,2.20002,6.58332,2.3500202,6.66666,14.700001
宁CU8105_0,1,b'2021-08-18 15:02:25',1,27.05051064,29.06670034,1.9240425,5.5697894,2.039431,6.182607,12.3595915,2.1,5.8833604,2.05002,6.1666803,12.86664
宁A5AG68_0,1,b'2021-08-18 15:03:58',1,27.1476388,25.71666062,1.931406,5.568493,2.0469232,6.1861377,12.421241,1.75002,6.34998,2.03334,5.63334,9.94998
宁A31T10_0,1,b'2021-08-18 15:04:05',0,29.42143321,26.49996042,2.0673838,5.7901015,2.1974518,6.511766,13.109425,1.63332,5.81664,1.73334,5.68332,11.633341
吉C58538_1,12,b'2021-08-18 15:06:20',1,36.45790458,40.16669869,2.4830196,7.196078,2.7438462,8.075677,17.234476,2.6666398,7.7500205,3.01668,8.7,18.03336
宁CZ6067_0,1,b'2021-08-18 15:08:07',1,26.8333447,27.83327937,1.916795,5.4629354,2.0265534,6.0640774,12.217377,1.86666,5.74998,1.99998,6.04998,12.166679
宁D7C166_0,1,b'2021-08-18 15:08:44',1,27.22560883,29.59998071,1.9393806,5.4983683,2.0480194,6.1256413,12.404106,1.9499999,6.3666596,2.18334,6.19998,12.900001
宁E75079_1,23,b'2021-08-18 15:11:32',1,31.51863456,31.15002036,2.1667478,6.316766,2.3266487,7.2059717,14.165303,2.1,6.3666596,2.11668,6.55002,14.01666
宁CBA559_0,1,b'2021-08-18 15:11:38',1,27.03088939,26.98331952,1.9247952,5.4931107,2.0360909,6.1024885,12.312476,1.9166399,6.18336,1.78332,5.38332,11.716681
蒙AU6L07_0,1,b'2021-08-18 15:12:22',1,26.88459277,24.39996064,1.9151797,5.4884834,2.0269275,6.085558,12.237093,1.39998,5.61666,2.1,5.1,10.18332
鄂E79030_0,1,b'2021-08-18 15:13:13',0,27.15221643,26.68331981,1.9352514,5.5073586,2.0447307,6.1267905,12.356393,1.65,5.7,2.1,5.83332,11.4
宁A6Z506_0,1,b'2021-08-18 15:13:47',1,26.84758902,27.78330088,1.9140862,5.5499525,2.029878,6.1544538,12.252069,1.9333199,5.50002,2.1,6.19998,12.049979
