vehicle_id,vehicle_type,time,whether_app,pre_sum,label_sum,segment_pre_0,segment_pre_1,segment_pre_2,segment_pre_3,segment_pre_4,segment_label_0,segment_label_1,segment_label_2,segment_label_3,segment_label_4
宁AHX815_0,1,b'2021-08-19 09:28:34',1,17.74818778038025,17.5832998752594,1.7500697,5.967353,4.256376,4.3691926,1.3433039,1.73334,5.68332,4.56666,4.31664,1.28334
宁A3R276_0,1,b'2021-08-19 09:30:21',0,20.47123074531555,16.883339881896973,1.9879489,6.8791037,4.845738,4.995136,1.4899942,1.63332,5.61666,3.9333599,4.43334,1.26666
宁AC896G_0,1,b'2021-08-19 09:30:42',0,17.60619878768921,16.61664068698883,1.70572,5.90204,4.218834,4.340088,1.3636189,1.63332,5.46666,4.18332,4.13334,1.1999999
宁AC233S_0,1,b'2021-08-19 09:30:46',1,18.507750034332275,18.133320808410645,1.8071349,6.267981,4.4223638,4.5568156,1.4094443,1.71666,6.0,4.39998,4.56666,1.45002
陕KF7033_1,16,b'2021-08-19 09:34:43',1,25.49763321876526,25.48331916332245,2.5253189,8.351346,6.2310863,6.417163,1.9348613,3.0833402,8.16666,5.89998,6.46668,1.86666
宁AA150N_0,11,b'2021-08-19 09:35:49',0,20.470858812332153,20.73330044746399,2.08194,6.9385405,4.9271903,5.065439,1.5614401,1.99998,6.58332,5.1666603,5.33334,1.65
宁A598H2_0,1,b'2021-08-19 09:37:09',0,18.677040338516235,20.516640543937683,1.818621,6.3467736,4.4658957,4.603216,1.4136602,1.84998,6.83334,5.06664,5.1666603,1.60002
宁AA758U_0,1,b'2021-08-19 09:37:35',0,19.748568534851074,20.349959135055542,1.9191353,6.673092,4.6927223,4.842984,1.445763,2.05002,6.85002,4.9166403,5.06664,1.46664
宁AYR587_0,1,b'2021-08-19 09:39:42',0,17.560728192329407,17.53331959247589,1.7038298,5.8878627,4.21649,4.336052,1.3572601,1.68336,5.83332,4.39998,4.36668,1.24998
宁A85579_0,11,b'2021-08-19 09:45:24',0,20.787359476089478,20.23337960243225,2.1032772,6.9933987,4.9510565,5.1454396,1.5834355,1.9000201,6.31668,4.81668,5.38332,1.81668
宁AE3571_1,16,b'2021-08-19 09:50:16',1,25.68968117237091,26.20001971721649,2.534301,8.356276,6.1866627,6.4310503,1.944166,2.59998,8.20002,6.4500003,6.93336,2.01666
宁A0KN75_0,1,b'2021-08-19 09:54:20',0,16.97700798511505,16.73327922821045,1.6676775,5.5778003,3.9355276,4.091969,1.3727772,1.71666,5.4499803,4.09998,4.2,1.26666
宁A726S2_0,1,b'2021-08-19 09:59:16',0,18.03263247013092,19.216679334640503,1.7426329,6.0337667,4.25039,4.4269977,1.3831276,1.9000201,6.18336,4.7999997,4.8499804,1.48332
宁A22750_0,1,b'2021-08-19 10:04:55',0,17.333391308784485,16.000020503997803,1.704931,5.71228,4.192503,4.304972,1.3157259,1.68336,5.31666,3.81666,4.00002,1.18332
宁AS559T_0,11,b'2021-08-19 10:05:29',0,18.749504685401917,18.533340096473694,1.935455,6.2988243,4.540896,4.661435,1.4482874,1.86666,6.03336,4.43334,4.69998,1.5
宁A52706_1,12,b'2021-08-19 10:07:27',0,23.376803398132324,23.58329951763153,2.3447652,7.7579756,5.7138543,5.8638854,1.7733351,2.29998,7.4833198,5.81664,6.10002,1.8833401
宁CB6727_0,11,b'2021-08-19 10:08:28',1,21.852550506591797,19.816680550575256,2.1990237,7.298154,5.3245926,5.459916,1.6499841,2.20002,6.6,4.8333597,4.69998,1.48332
宁A0F753_0,1,b'2021-08-19 10:09:18',0,18.107503652572632,20.050020217895508,1.8135176,6.0335407,4.384219,4.50962,1.3630226,1.84998,6.68334,4.71666,5.28336,1.51668
豫L821A2_0,1,b'2021-08-19 10:10:07',1,18.31886887550354,18.483359813690186,1.820287,6.111255,4.4175777,4.546734,1.3699132,1.78332,6.49998,4.23336,4.6000204,1.36668
宁A361A1_0,1,b'2021-08-19 10:19:27',0,18.499646186828613,16.90008044242859,1.8462124,6.1905723,4.4460716,4.571635,1.3786874,1.5833399,5.73336,4.15002,4.2166796,1.2166799
豫HJ4350_1,16,b'2021-08-19 10:21:45',1,25.683188438415527,33.83334159851074,2.5347714,8.346605,6.281695,6.448912,1.9285098,3.1666799,8.416679,12.049979,7.95,2.25
豫HR2695_1,16,b'2021-08-19 10:22:09',1,25.759395360946655,33.31661939620972,2.554145,8.356745,6.3073163,6.4715652,1.9443521,2.59998,8.416679,13.43334,6.94998,1.9166399
宁A203Z3_0,1,b'2021-08-19 10:32:02',1,18.34507942199707,17.866739630699158,1.8741713,6.0999184,4.445073,4.5341144,1.396823,1.60002,5.95002,4.53336,4.51668,1.26666
宁AG015S_0,1,b'2021-08-19 10:36:58',0,19.014079570770264,20.96664011478424,1.8451363,6.421346,4.5349216,4.6288643,1.4007148,2.0833201,6.66666,5.23332,5.4833403,1.5
宁BR8796_0,1,b'2021-08-19 10:50:06',1,18.4823477268219,17.5832998752594,1.8282675,6.1745105,4.3828974,4.51343,1.3694348,1.9499999,5.8000197,4.11666,4.46664,1.24998
宁A6GR89_0,11,b'2021-08-19 10:51:52',0,21.493926644325256,19.91663932800293,2.1410713,7.210115,5.1308327,5.276777,1.597512,1.9499999,6.51666,4.73334,5.1,1.61664
晋AG9676_1,16,b'2021-08-19 11:04:59',1,25.50402045249939,28.8332998752594,2.541559,8.315542,6.1661873,6.366198,1.9243069,2.86668,9.66666,7.24998,7.01664,2.03334
宁A597F1_0,1,b'2021-08-19 11:06:07',0,18.42929720878601,22.816620469093323,1.8593321,6.168063,4.384177,4.5228443,1.3643856,2.46666,7.33332,5.66664,5.65002,1.69998
宁A1HJ82_0,1,b'2021-08-19 11:15:39',0,18.452317714691162,20.783339738845825,1.8696057,6.1821513,4.4173164,4.546296,1.3544899,1.8833401,7.4833198,4.96668,4.9166403,1.53336
宁A8V069_0,1,b'2021-08-19 11:18:12',0,17.867553234100342,29.06663954257965,1.7700331,5.9971495,4.2757945,4.3920236,1.3294885,1.61664,5.4833403,16.41666,4.24998,1.30002
宁BCM998_0,1,b'2021-08-19 11:20:39',0,18.407440781593323,19.450020790100098,1.8464141,6.206898,4.4037886,4.5372524,1.350342,1.9499999,6.43332,4.66668,4.9500003,1.45002
宁A39Q86_0,11,b'2021-08-19 11:22:56',0,19.1298508644104,26.466659903526306,2.0222409,6.461559,4.636907,4.75779,1.4608703,1.9166399,6.34998,11.416679,5.25,1.53336
津D04930_0,1,b'2021-08-19 11:26:42',1,18.304778337478638,45.69995999336243,1.8667878,6.1523323,4.4031324,4.5315547,1.3526708,1.71666,5.9833198,32.11668,4.61664,1.26666
宁APT372_0,1,b'2021-08-19 11:27:04',0,18.07997703552246,17.89997935295105,1.8285306,6.0371904,4.3324165,4.458317,1.3329133,1.78332,5.93334,4.41666,4.45002,1.31664
冀J6X386_1,16,b'2021-08-19 11:31:16',0,26.33384943008423,26.25,2.615008,8.439259,6.339386,6.520622,1.9754388,2.50002,8.81664,6.1666803,6.7666802,1.99998
渝FGD565_0,1,b'2021-08-19 11:34:59',1,18.32775592803955,17.09994077682495,1.8626404,6.124743,4.3910017,4.4873257,1.359704,1.61664,5.89998,4.11666,4.26666,1.1999999
宁A873Y3_0,1,b'2021-08-19 11:43:27',1,18.473575115203857,20.716620683670044,1.8526931,6.193851,4.404039,4.5044894,1.3589745,1.8,6.1333203,7.21668,4.24998,1.31664
晋L1F160_0,1,b'2021-08-19 11:44:12',1,18.296152353286743,20.833320021629333,1.8133564,6.150678,4.3576427,4.4495344,1.350462,2.01666,6.3666596,5.25,5.63334,1.5666599
宁A7H539_0,1,b'2021-08-19 11:56:27',0,17.383410930633545,17.58336067199707,1.7136822,5.7924385,4.0974455,4.201591,1.3076403,1.65,5.83332,4.45002,4.30002,1.35
陕KH6909_1,16,b'2021-08-19 11:59:16',1,25.687748193740845,23.650020360946655,2.5462806,8.378725,6.1571994,6.349049,1.9302509,2.3500202,8.31666,5.7666597,5.58336,1.63332
宁AK097D_0,1,b'2021-08-19 12:02:47',1,18.297067880630493,16.683300733566284,1.8424357,6.1374645,4.353311,4.467518,1.3625107,1.5833399,5.74998,4.01664,4.08336,1.24998
宁AJ5188_1,12,b'2021-08-19 12:06:52',0,21.67168915271759,23.166720271110535,2.2370849,7.2680836,5.191734,5.314031,1.6624438,2.33334,7.5833397,5.38332,5.8833604,1.9833599
苏GA8200_1,16,b'2021-08-19 12:10:53',1,25.87059259414673,23.783340454101562,2.5565555,8.390219,6.2302155,6.409185,1.9381459,2.3999999,7.83336,5.68332,5.91666,1.9499999
宁A6927G_0,1,b'2021-08-19 12:12:17',0,17.927223443984985,35.76665997505188,1.7623262,6.0003467,4.2416134,4.354724,1.3279647,1.78332,5.96664,4.36668,4.45002,19.199999
宁B92658_1,16,b'2021-08-19 12:14:45',1,25.254521369934082,26.133359670639038,2.4796274,8.252018,6.0710816,6.243343,1.8800426,2.56668,8.350019,6.58332,6.66666,1.9666799
甘AG8U12_0,1,b'2021-08-19 12:17:51',1,18.070614337921143,21.399959921836853,1.8175545,6.076508,4.301035,4.4461255,1.346409,1.66668,6.11664,7.99998,4.33332,1.28334
鲁J536M0_0,1,b'2021-08-19 12:18:31',1,18.38780701160431,16.383360028266907,1.8424566,6.2076545,4.367274,4.51656,1.3652627,1.5666599,5.74998,3.91668,3.9333599,1.2166799
冀C67955_1,16,b'2021-08-19 12:21:20',1,25.689200162887573,23.94995927810669,2.5519776,8.3647,6.224724,6.421096,1.9309593,2.0666401,7.13334,7.61664,5.46666,1.66668
辽A7A31N_0,1,b'2021-08-19 12:22:14',1,18.11916947364807,18.43332052230835,1.8141764,6.1066775,4.3056965,4.452757,1.3478941,1.78332,6.4000196,4.39998,4.51668,1.3333199
宁A002E1_0,11,b'2021-08-19 12:25:35',0,21.822157502174377,23.816699981689453,2.1739862,7.328598,5.2060075,5.3716044,1.6139562,2.3500202,8.11668,5.7666597,5.8000197,1.78332
宁AM869Z_0,1,b'2021-08-19 12:25:44',0,17.92640447616577,16.750019788742065,1.7869797,6.0163918,4.2564583,4.400429,1.3329726,1.66668,5.73336,4.09998,4.00002,1.24998
宁AD980M_0,1,b'2021-08-19 12:26:47',1,18.23086380958557,18.166619539260864,1.8394543,6.138295,4.3402586,4.485761,1.3585445,1.71666,6.1666803,4.1666403,4.71666,1.39998
冀EV8925_1,16,b'2021-08-19 12:29:03',1,25.660032033920288,30.166679620742798,2.548786,8.357909,6.2104654,6.4048147,1.9254103,3.03336,9.85002,7.3500004,7.61664,2.31666
宁AC3780_0,1,b'2021-08-19 12:30:53',0,17.007322311401367,18.316619396209717,1.6590979,5.636834,4.022172,4.135433,1.3444307,1.86666,6.51666,4.11666,4.4833198,1.3333199
宁AB2004_0,1,b'2021-08-19 12:37:06',1,18.30755352973938,16.433399319648743,1.8337502,6.1558943,4.3681436,4.5082254,1.3754861,1.5833399,5.73336,3.85002,4.03332,1.2333599
浙BVQ369_0,1,b'2021-08-19 12:48:19',0,19.390482902526855,18.033360242843628,1.9567233,6.4215193,4.581162,4.7349825,1.4593768,1.81668,6.15,4.28334,4.38336,1.39998
宁A7AK67_0,11,b'2021-08-19 12:48:23',0,22.87621557712555,20.550000071525574,2.2180312,7.6013947,5.4780016,5.6566963,1.6804172,2.11668,6.6499796,4.93332,5.25,1.60002
宁B98280_1,16,b'2021-08-19 12:50:20',1,25.869945287704468,25.416719913482666,2.5503821,8.361581,6.2534337,6.458187,1.9491858,2.4333599,8.05002,6.11664,6.70002,2.11668
宁AHK869_0,1,b'2021-08-19 12:51:23',0,18.097795844078064,18.54996085166931,1.7960433,6.0479684,4.2993836,4.443942,1.3622798,1.76664,6.15,4.5,4.65,1.48332
宁AZ369P_0,1,b'2021-08-19 12:56:32',0,18.822437524795532,17.516639828681946,1.9002848,6.231965,4.454021,4.6037917,1.4196612,1.78332,5.85,4.26666,4.30002,1.31664
陕K4150X_1,1,b'2021-08-19 12:59:18',1,18.446810245513916,17.349960207939148,1.8186779,6.1705337,4.359641,4.511819,1.3796921,1.81668,5.65002,4.24998,4.31664,1.31664
宁AG909A_0,1,b'2021-08-19 13:00:28',1,18.150359988212585,18.133379817008972,1.8132207,6.0183244,4.287039,4.407733,1.3542883,1.75002,6.21666,4.36668,4.5,1.30002
宁C51081_1,16,b'2021-08-19 13:04:43',1,26.131714582443237,26.999999284744263,2.5807896,8.351505,6.264376,6.4421186,1.9665821,2.81664,9.31668,7.06668,6.18336,1.61664
浙A2Q009_1,11,b'2021-08-19 13:07:33',0,27.87114143371582,27.94998049736023,2.6923823,8.526551,6.488009,6.695246,2.0619504,2.78334,8.983319,6.98334,7.18332,2.01666
宁AL629W_0,1,b'2021-08-19 13:11:16',0,18.19035530090332,21.833340525627136,1.8287585,5.990325,4.29493,4.4117937,1.3613973,1.81668,6.31668,7.95,4.41666,1.3333199
鄂FNQ712_1,16,b'2021-08-19 13:13:04',1,25.888325572013855,25.716660618782043,2.5665088,8.298476,6.216965,6.392482,1.9564931,2.16666,7.38336,8.01666,6.2999997,1.84998
苏A0T7B9_0,11,b'2021-08-19 13:13:47',0,23.17413032054901,20.84999978542328,2.2802556,7.576845,5.516753,5.6644034,1.7247866,1.99998,6.85002,5.1166797,5.25,1.63332
宁A28H95_0,1,b'2021-08-19 13:21:29',0,17.193941473960876,16.949999928474426,1.6993662,5.731995,4.1374836,4.250442,1.3157837,1.63332,5.71668,4.15002,4.2,1.24998
宁AL332J_0,1,b'2021-08-19 13:26:30',0,20.58903694152832,17.01672077178955,2.066952,6.7973533,4.872131,5.0243273,1.535739,1.66668,5.63334,4.2,4.23336,1.28334
宁A1667J_0,1,b'2021-08-19 13:27:47',0,16.879461407661438,17.21664011478424,1.6871395,5.5657234,4.0630307,4.180707,1.2906253,1.73334,5.50002,4.26666,4.39998,1.31664
宁AUF258_0,1,b'2021-08-19 13:29:00',1,18.31699848175049,58.98329973220825,1.840247,6.15354,4.397377,4.5325847,1.3694036,2.0666401,7.3166404,44.01666,4.28334,1.30002
宁AUK603_0,11,b'2021-08-19 13:38:25',0,21.05367422103882,20.68332016468048,2.150504,7.037536,5.043336,5.1836085,1.5983882,2.03334,6.55002,5.31666,5.21664,1.5666599
豫KE2589_1,16,b'2021-08-19 13:40:41',1,25.444250106811523,25.216619968414307,2.518845,8.265026,6.190814,6.3724384,1.923152,2.61666,8.14998,6.2999997,6.28332,1.86666
陕EF2317_1,16,b'2021-08-19 13:44:25',1,25.679515600204468,21.766680479049683,2.5527534,8.3471985,6.252974,6.4389935,1.9381152,2.25,7.23336,5.0833197,5.41668,1.78332
宁A4E883_0,1,b'2021-08-19 13:57:26',0,18.855081796646118,20.93328058719635,1.930502,6.3502703,4.5344515,4.6755,1.4086461,1.86666,6.66666,4.93332,5.68332,1.78332
宁CD1669_1,12,b'2021-08-19 14:02:18',1,24.818276166915894,25.84998071193695,2.470044,8.148293,6.106593,6.2731576,1.8332818,2.51664,8.08332,6.55002,6.6,2.1
宁A276J8_0,1,b'2021-08-19 14:04:18',0,22.044830918312073,22.466699481010437,2.0919845,7.3458347,5.2406034,5.39671,1.5300449,2.26668,7.43334,5.43336,5.66664,1.66668
宁BK7078_0,1,b'2021-08-19 14:11:28',1,18.34222912788391,18.483300805091858,1.8221054,6.242004,4.409057,4.543655,1.3362191,1.9499999,6.15,4.75002,4.31664,1.31664
宁AK1898_1,16,b'2021-08-19 14:12:03',0,26.758625507354736,25.51661968231201,2.6627386,8.524614,6.560407,6.759598,1.9917394,2.46666,8.23332,6.31668,6.56664,1.9333199
宁A2540A_0,1,b'2021-08-19 14:13:11',1,18.508806824684143,17.54994034767151,1.8739946,6.275163,4.465736,4.605553,1.3602389,1.8,5.86668,4.1666403,4.39998,1.31664
宁E71180_1,16,b'2021-08-19 14:13:33',0,22.249066829681396,21.16667926311493,2.303642,7.428369,5.4370737,5.5813284,1.6894215,2.0833201,6.91668,5.2666802,5.31666,1.5833399
宁CU2568_0,1,b'2021-08-19 14:19:22',1,18.35547387599945,18.600000143051147,1.8235993,6.178613,4.40329,4.5339613,1.3280922,1.84998,6.19998,4.65,4.6000204,1.30002
宁A9129A_0,1,b'2021-08-19 14:22:44',1,18.442078828811646,16.516619324684143,1.8280059,6.218456,4.4233837,4.555193,1.3328013,1.61664,5.33334,4.18332,4.13334,1.24998
宁A2128C_0,1,b'2021-08-19 14:28:11',1,18.515852093696594,16.966620683670044,1.8798553,6.2027235,4.4587746,4.586851,1.3605927,1.63332,5.81664,4.11666,4.15002,1.24998
晋M78662_9,16,b'2021-08-19 14:30:20',0,25.931153297424316,27.966660261154175,2.5774255,8.358416,6.384726,6.483687,1.9369363,3.01668,8.76666,6.71664,7.21668,2.25
宁B3A365_0,1,b'2021-08-19 14:32:28',1,18.552727103233337,17.266679406166077,1.8654494,6.249878,4.4800873,4.562104,1.366881,1.76664,5.56668,4.13334,4.5,1.30002
宁A7JL59_0,1,b'2021-08-19 14:35:58',0,18.475629687309265,18.200039863586426,1.7811165,6.254943,4.4123034,4.491194,1.3610591,1.75002,6.38334,4.35,4.38336,1.3333199
宁ARN513_0,11,b'2021-08-19 14:37:24',0,20.879387855529785,19.950000643730164,2.115326,7.0354657,5.0464754,5.117516,1.5450935,2.11668,6.49998,4.8833404,4.99998,1.45002
宁A0LU59_0,11,b'2021-08-19 14:46:30',1,21.458668112754822,18.733320236206055,2.1704164,7.1977715,5.1769505,5.277062,1.6061039,2.1,6.0833397,4.54998,4.53336,1.46664
宁A20H55_0,1,b'2021-08-19 14:48:43',1,18.591277599334717,21.833340525627136,1.85337,6.2900286,4.446935,4.5474744,1.3694202,2.23332,6.98334,5.61666,5.33334,1.66668
宁A9693L_0,1,b'2021-08-19 14:50:16',0,18.254377841949463,17.53331959247589,1.7997334,6.1772623,4.3618236,4.4603453,1.3442644,1.8,6.03336,4.18332,4.18332,1.3333199
豫CR5098_1,12,b'2021-08-19 14:53:31',0,22.537214756011963,22.716659903526306,2.3045745,7.4994903,5.469389,5.570564,1.713362,2.16666,7.5,5.55,5.7666597,1.73334
鲁Q098LH_1,16,b'2021-08-19 14:54:58',1,26.285904049873352,22.649999856948853,2.5899673,8.45845,6.373366,6.496586,1.9287229,2.29998,7.43334,5.66664,5.65002,1.60002
陕K60N69_0,1,b'2021-08-19 14:56:55',1,18.537402749061584,17.33333945274353,1.885231,6.2226043,4.4523687,4.5527797,1.3886769,1.73334,5.83332,4.05,4.41666,1.30002
宁BE3077_0,1,b'2021-08-19 14:58:37',1,18.556426763534546,41.84999942779541,1.8948246,6.2455363,4.462454,4.563485,1.391035,2.05002,7.71666,25.99998,4.78332,1.30002
冀A3963W_1,13,b'2021-08-19 14:59:20',1,25.558043718338013,23.66663932800293,2.51684,8.338352,6.2316566,6.3497443,1.8913231,2.3833199,7.93332,5.7666597,5.8000197,1.78332
