src_FID,nbr_FID
0,33
0,35
0,72
0,85
1,34
1,46
1,47
1,48
1,56
2,55
2,57
2,73
2,96
3,35
3,36
4,56
4,57
4,58
4,97
5,44
5,49
5,77
5,89
6,50
6,51
6,68
6,92
7,69
7,74
7,75
7,76
7,78
8,51
9,77
9,78
9,79
9,106
10,44
10,45
10,90
11,68
11,69
11,70
11,102
12,45
13,70
13,71
13,103
14,28
14,29
14,30
15,52
16,37
17,59
17,60
17,61
18,32
18,33
18,34
18,84
19,54
19,55
19,94
19,95
20,31
20,32
20,83
21,53
21,54
21,93
22,31
22,32
22,83
23,53
23,54
23,93
24,38
24,39
24,88
25,62
25,63
26,39
26,40
26,41
26,42
27,63
27,64
27,100
28,14
28,29
28,30
28,80
29,14
29,28
29,31
29,81
29,82
30,14
30,28
30,38
30,87
31,20
31,22
31,29
31,32
31,81
31,82
31,83
32,18
32,20
32,22
32,31
32,33
32,34
32,83
32,84
33,0
33,18
33,32
33,35
33,84
33,85
34,1
34,18
34,32
34,46
34,47
34,48
34,84
35,0
35,3
35,33
35,36
35,72
35,85
36,3
36,35
36,37
36,86
37,16
37,36
37,43
37,86
38,24
38,30
38,39
38,87
38,88
39,24
39,26
39,38
39,40
39,41
39,42
39,88
40,26
40,39
40,43
41,26
41,39
41,49
41,50
41,91
42,26
42,39
42,72
42,73
42,105
43,37
43,40
43,46
43,74
43,86
44,5
44,10
44,45
44,49
44,77
44,89
44,90
45,10
45,12
45,44
45,90
46,1
46,34
46,43
46,56
47,1
47,34
47,49
47,50
47,56
47,91
48,1
48,34
48,56
48,64
48,101
49,5
49,41
49,44
49,47
49,65
49,89
49,91
50,6
50,41
50,47
50,51
50,65
50,91
50,92
51,6
51,8
51,50
51,68
51,92
52,15
52,53
52,62
53,21
53,23
53,52
53,54
53,93
54,19
54,21
54,23
54,53
54,55
54,93
54,94
54,95
55,2
55,19
55,54
55,57
55,73
55,94
55,95
55,96
56,1
56,4
56,46
56,47
56,48
56,58
56,97
57,2
57,4
57,55
57,58
57,96
57,97
58,4
58,56
58,57
58,59
58,97
58,98
59,17
59,58
59,61
59,98
60,17
60,61
60,65
60,66
60,67
61,17
61,59
61,60
61,99
62,25
62,52
62,63
63,25
63,27
63,62
63,64
63,100
64,27
64,48
64,63
64,66
64,75
64,100
64,101
65,49
65,50
65,60
65,91
66,60
66,64
66,101
67,60
67,72
67,73
67,105
68,6
68,11
68,51
68,70
68,92
68,102
69,7
69,11
69,70
69,74
69,75
69,76
69,102
70,11
70,13
70,68
70,69
70,71
70,102
70,103
71,13
71,70
71,103
71,104
72,0
72,35
72,42
72,67
72,76
72,85
72,105
73,2
73,42
73,55
73,67
73,76
73,96
73,105
74,7
74,43
74,69
74,78
75,7
75,64
75,69
75,78
75,101
76,7
76,69
76,72
76,73
76,78
76,105
77,5
77,9
77,44
77,79
77,89
77,106
78,7
78,9
78,74
78,75
78,76
78,79
78,106
79,9
79,77
79,78
79,106
79,107
80,28
81,29
81,31
82,29
82,31
83,31
83,32
83,20
83,22
84,32
84,33
84,34
84,18
85,33
85,35
85,72
85,0
86,36
86,37
86,43
87,30
87,38
88,38
88,39
88,24
89,44
89,49
89,77
89,5
90,44
90,45
90,10
91,41
91,47
91,49
91,50
91,65
92,50
92,51
92,68
92,6
93,53
93,54
93,21
93,23
94,54
94,55
94,19
95,54
95,55
95,19
96,55
96,57
96,73
96,2
97,56
97,57
97,58
97,4
98,58
98,59
99,61
100,63
100,64
100,27
101,48
101,64
101,66
101,75
102,68
102,69
102,70
102,11
103,70
103,71
103,13
104,71
105,42
105,67
105,72
105,73
105,76
106,77
106,78
106,79
106,9
107,79
